instrument_name,currency,expiry_date,strike,option_type,spot_price,mark_price,mark_iv,time_to_expiry_years
BTC-28APR26-69000-C,BTC,2026-04-28 00:00:00+00:00,69000.0,C,77537.63,8536.893063000001,0.6217,0.005337877289844602
BTC-28APR26-69000-P,BTC,2026-04-28 00:00:00+00:00,69000.0,P,77537.63,7.753763000000001,0.6217,0.005337870396259538
BTC-28APR26-70000-C,BTC,2026-04-28 00:00:00+00:00,70000.0,C,77537.63,7544.4113990000005,0.5952000000000001,0.005337862545060462
BTC-28APR26-70000-P,BTC,2026-04-28 00:00:00+00:00,70000.0,P,77537.63,15.507526000000002,0.5952000000000001,0.0053378552677326545
BTC-28APR26-71000-C,BTC,2026-04-28 00:00:00+00:00,71000.0,C,77537.49,6551.917905000001,0.5254,0.005337848370123204
BTC-28APR26-71000-P,BTC,2026-04-28 00:00:00+00:00,71000.0,P,77537.49,15.507498000000002,0.5254,0.005337840914866783
BTC-28APR26-72000-C,BTC,2026-04-28 00:00:00+00:00,72000.0,C,77537.49,5551.684284,0.46159999999999995,0.005337833757795269
BTC-28APR26-72000-P,BTC,2026-04-28 00:00:00+00:00,72000.0,P,77537.49,23.261247,0.46159999999999995,0.0053378265250526025
BTC-28APR26-73000-C,BTC,2026-04-28 00:00:00+00:00,73000.0,C,77535.99,4566.8698110000005,0.41960000000000003,0.00533781945065531
BTC-28APR26-73000-P,BTC,2026-04-28 00:00:00+00:00,73000.0,P,77535.99,31.014396000000005,0.41960000000000003,0.005337812662338073
BTC-28APR26-74000-C,BTC,2026-04-28 00:00:00+00:00,74000.0,C,77535.99,3589.916337,0.38689999999999997,0.005337805610059067
BTC-28APR26-74000-P,BTC,2026-04-28 00:00:00+00:00,74000.0,P,77535.99,62.02879200000001,0.38689999999999997,0.0053377980334055825
BTC-28APR26-75000-C,BTC,2026-04-28 00:00:00+00:00,75000.0,C,77535.99,2667.238056,0.3675,0.005337791169417193
BTC-28APR26-75000-P,BTC,2026-04-28 00:00:00+00:00,75000.0,P,77535.99,139.564782,0.3675,0.0053377837955040945
BTC-28APR26-75500-C,BTC,2026-04-28 00:00:00+00:00,75500.0,C,77535.99,2233.036512,0.35729999999999995,0.005337776570905265
BTC-28APR26-75500-P,BTC,2026-04-28 00:00:00+00:00,75500.0,P,77535.99,201.59357400000002,0.35729999999999995,0.0053377694733756685
BTC-28APR26-76000-C,BTC,2026-04-28 00:00:00+00:00,76000.0,C,77535.99,1814.3421660000001,0.3464,0.005337761252788551
BTC-28APR26-76000-P,BTC,2026-04-28 00:00:00+00:00,76000.0,P,77533.86,286.875282,0.3464,0.005337754072869927
BTC-28APR26-76500-C,BTC,2026-04-28 00:00:00+00:00,76500.0,C,77533.86,1449.883182,0.34659999999999996,0.005337746995905899
BTC-28APR26-76500-P,BTC,2026-04-28 00:00:00+00:00,76500.0,P,77534.1,426.43755,0.34659999999999996,0.005337707773785079
BTC-28APR26-77000-C,BTC,2026-04-28 00:00:00+00:00,77000.0,C,77534.1,1116.49104,0.3392,0.005337700713964306
BTC-28APR26-77000-P,BTC,2026-04-28 00:00:00+00:00,77000.0,P,77534.1,589.2591600000001,0.3392,0.005337693751140771
BTC-28APR26-77500-C,BTC,2026-04-28 00:00:00+00:00,77500.0,C,77533.63,845.116567,0.34,0.00533768656120871
BTC-28APR26-77500-P,BTC,2026-04-28 00:00:00+00:00,77500.0,P,77533.63,821.856478,0.34,0.00533767964436459
BTC-28APR26-78000-C,BTC,2026-04-28 00:00:00+00:00,78000.0,C,77533.63,620.26904,0.3395,0.0053376725734846754
BTC-28APR26-78000-P,BTC,2026-04-28 00:00:00+00:00,78000.0,P,77533.63,1093.224183,0.3395,0.00533766394504018
BTC-28APR26-78500-C,BTC,2026-04-28 00:00:00+00:00,78500.0,C,77531.44,426.42292,0.33549999999999996,0.005337657015394073
BTC-28APR26-78500-P,BTC,2026-04-28 00:00:00+00:00,78500.0,P,77531.44,1403.3190640000003,0.33549999999999996,0.005337649752959668
BTC-28APR26-79000-C,BTC,2026-04-28 00:00:00+00:00,79000.0,C,77531.44,310.12576,0.3442,0.005337642686611149
BTC-28APR26-79000-P,BTC,2026-04-28 00:00:00+00:00,79000.0,P,77531.44,1783.22312,0.3442,0.005337635192663574
BTC-28APR26-79500-C,BTC,2026-04-28 00:00:00+00:00,79500.0,C,77532.5,217.091,0.3507,0.005337628269355084
BTC-28APR26-79500-P,BTC,2026-04-28 00:00:00+00:00,79500.0,P,77532.5,2194.16975,0.3507,0.005337621104710118
BTC-28APR26-80000-C,BTC,2026-04-28 00:00:00+00:00,80000.0,C,77532.5,147.31175,0.3586,0.005337613655664562
BTC-28APR26-80000-P,BTC,2026-04-28 00:00:00+00:00,80000.0,P,77532.5,2628.35175,0.3586,0.0053376065695109895
BTC-28APR26-80500-C,BTC,2026-04-28 00:00:00+00:00,80500.0,C,77532.5,108.5455,0.3704,0.005337599478002129
BTC-28APR26-80500-P,BTC,2026-04-28 00:00:00+00:00,80500.0,P,77532.43,3085.7907139999998,0.3704,0.005337592312374832
BTC-28APR26-81000-C,BTC,2026-04-28 00:00:00+00:00,81000.0,C,77532.43,77.53242999999999,0.3795,0.005337585078998403
BTC-28APR26-81000-P,BTC,2026-04-28 00:00:00+00:00,81000.0,P,77532.43,3550.9852939999996,0.3795,0.005337577925666083
BTC-28APR26-82000-C,BTC,2026-04-28 00:00:00+00:00,82000.0,C,77532.43,46.51945799999999,0.4131,0.00533757058797247
BTC-28APR26-82000-P,BTC,2026-04-28 00:00:00+00:00,82000.0,P,77532.43,4520.140668999999,0.4131,0.005337562987394478
BTC-28APR26-83000-C,BTC,2026-04-28 00:00:00+00:00,83000.0,C,77532.43,31.012971999999998,0.4496,0.005337555973648186
BTC-28APR26-83000-P,BTC,2026-04-28 00:00:00+00:00,83000.0,P,77532.43,5504.802529999999,0.4496,0.005337548730385074
BTC-28APR26-84000-C,BTC,2026-04-28 00:00:00+00:00,84000.0,C,77532.43,23.259728999999997,0.4904,0.0053375415422592335
BTC-28APR26-84000-P,BTC,2026-04-28 00:00:00+00:00,84000.0,P,77532.43,6497.217634,0.4904,0.005337534253016706
BTC-28APR26-85000-C,BTC,2026-04-28 00:00:00+00:00,85000.0,C,77532.43,15.506485999999999,0.5235,0.005337526994733439
BTC-28APR26-85000-P,BTC,2026-04-28 00:00:00+00:00,85000.0,P,77532.43,7489.632737999999,0.5235,0.005337519929272188
BTC-28APR26-86000-C,BTC,2026-04-28 00:00:00+00:00,86000.0,C,77532.43,7.753242999999999,0.5562,0.005337512936630162
BTC-28APR26-86000-P,BTC,2026-04-28 00:00:00+00:00,86000.0,P,77532.43,8489.801085,0.5562,0.005337505524723046
BTC-28APR26-87000-C,BTC,2026-04-28 00:00:00+00:00,87000.0,C,77532.42,7.753242,0.6097,0.005337497981342055
BTC-28APR26-87000-P,BTC,2026-04-28 00:00:00+00:00,87000.0,P,77532.42,9489.968208,0.6097,0.005337490744099678
BTC-29APR26-69000-C,BTC,2026-04-29 00:00:00+00:00,69000.0,C,77532.46,8536.323846000001,0.5376,0.008075334555859761
BTC-29APR26-69000-P,BTC,2026-04-29 00:00:00+00:00,69000.0,P,77532.46,15.506492000000001,0.5376,0.008075327543285929
BTC-29APR26-70000-C,BTC,2026-04-29 00:00:00+00:00,70000.0,C,77532.46,7543.908358000001,0.5112,0.008075319734295384
BTC-29APR26-70000-P,BTC,2026-04-29 00:00:00+00:00,70000.0,P,77532.46,23.259738,0.5112,0.008075311820607398
BTC-29APR26-71000-C,BTC,2026-04-29 00:00:00+00:00,71000.0,C,77532.46,6551.492870000001,0.4707,0.008075304433828935
