instrument,currency,option_type,strike,spot,moneyness,time_to_expiry,expiry_bucket,market_price,bs_price,mc_price,heston_price,best_model,best_model_pct_error,bs_pct_error,mc_pct_error,heston_pct_error
BTC-28APR26-69000-P,BTC,P,69000.0,77537.63,0.8898904957502569,0.005337870396259538,short,7.753763000000001,5.277019565742307,5.3508472329181185,0.0,MC,30.990317437892827,31.942470181996708,30.990317437892827,100.0
BTC-28APR26-70000-P,BTC,P,70000.0,77537.63,0.9027874594567824,0.0053378552677326545,short,15.507526000000002,9.883580448185626,9.921015645303497,0.08915092713806526,MC,36.02451064532476,36.26591083461266,36.02451064532476,99.42511186414863
BTC-28APR26-71000-P,BTC,P,71000.0,77537.49,0.9156860765031212,0.005337840914866783,short,15.507498000000002,10.377425147304734,10.457071635657885,0.6903763943899461,MC,32.567641565016594,33.08124142718101,32.567641565016594,95.54811231063873
BTC-28APR26-72000-P,BTC,P,72000.0,77537.49,0.928583063496123,0.0053378265250526025,short,23.261247,12.137963039662054,12.320889677789761,2.8203335164632253,MC,47.03254869444548,47.81894951864768,47.03254869444548,87.87539844074901
BTC-28APR26-73000-P,BTC,P,73000.0,77535.99,0.941498264225426,0.005337812662338073,short,31.014396000000005,20.922406877868298,21.953370082484156,11.802147469743797,MC,29.21554853918757,32.53969260640028,29.21554853918757,61.94622822980723
BTC-28APR26-74000-P,BTC,P,74000.0,77535.99,0.9543955007216648,0.0053377980334055825,short,62.02879200000001,43.053388772559174,45.31490877146213,41.37630555615839,MC,26.945363096121362,30.591282879474473,26.945363096121362,33.295000237698666
BTC-28APR26-75000-P,BTC,P,75000.0,77535.99,0.9672927372179035,0.0053377837955040945,short,139.564782,103.88629266964108,106.10674482560015,115.62829800620933,HESTON,17.150805275352827,25.564106373453814,23.973123229898974,17.150805275352827
BTC-28APR26-80500-C,BTC,C,80500.0,77532.5,1.0382742720794504,0.005337599478002129,short,108.5455,82.23227859611598,77.38042298608323,79.4096533407902,BS,24.24165110841447,24.24165110841447,28.711532964440504,26.842058546148667
BTC-28APR26-81000-C,BTC,C,81000.0,77532.43,1.0447241238279261,0.005337585078998403,short,77.53242999999999,54.980640744069206,50.74876937366332,47.60351522157844,BS,29.08691144586954,29.08691144586954,34.54510664290629,38.60180156667546
BTC-28APR26-82000-C,BTC,C,82000.0,77532.43,1.0576219525171597,0.00533757058797247,short,46.51945799999999,30.454306698153687,27.838897101204036,16.521601737938315,BS,34.534261559638786,34.534261559638786,40.15644571524449,64.48453518538776
BTC-28APR26-83000-C,BTC,C,83000.0,77532.43,1.0705197812063934,0.005337555973648186,short,31.012971999999998,18.68476042529369,16.93666051008634,5.651844117160262,BS,39.75179023379736,39.75179023379736,45.38846354329942,81.77587069965348
BTC-28APR26-84000-C,BTC,C,84000.0,77532.43,1.083417609895627,0.0053375415422592335,short,23.259728999999997,13.010113389556182,11.770332581384112,1.9917440410790217,BS,44.06592875799979,44.06592875799979,49.39608891666746,91.43694218845361
BTC-28APR26-85000-C,BTC,C,85000.0,77532.43,1.0963154385848606,0.005337526994733439,short,15.506485999999999,8.512540853662813,7.576754479995021,0.8026772462151428,BS,45.103353179677114,45.103353179677114,51.1381593483203,94.82360319278563
BTC-28APR26-86000-C,BTC,C,86000.0,77532.43,1.1092132672740944,0.005337512936630162,short,7.753242999999999,5.792012259284945,5.185051178459393,0.3169195965024101,BS,25.2956181138016,25.2956181138016,33.124098155321676,95.91242533605086
BTC-28APR26-87000-C,BTC,C,87000.0,77532.42,1.1221112406913134,0.005337497981342055,short,7.753242,5.6954307907701605,5.140041056268375,0.06951562062536562,BS,26.54129987468261,26.54129987468261,33.70462244995868,99.10339931830626
BTC-29APR26-69000-P,BTC,P,69000.0,77532.46,0.8899498352045065,0.008075327543285929,short,15.506492000000001,8.997897791828791,9.04800336921204,0.5905797914825702,MC,41.6502238597096,41.97335031141286,41.6502238597096,96.1914029847462
BTC-29APR26-70000-P,BTC,P,70000.0,77532.46,0.9028476589031226,0.008075311820607398,short,23.259738,15.019167562737152,15.215556486129426,1.801920685459476,MC,34.58414498852297,35.42847489194783,34.58414498852297,92.25304822668477
BTC-29APR26-71000-P,BTC,P,71000.0,77532.46,0.9157454826017386,0.00807529634563465,short,31.012984000000003,20.836064463680486,21.532259363993937,5.368569145541023,MC,30.570178722582988,32.815028493612594,30.570178722582988,82.68928541174554
BTC-29APR26-72000-P,BTC,P,72000.0,77532.46,0.9286433063003546,0.008075281870864705,short,46.519476,32.94108564611406,34.63841521954409,16.53740495329892,MC,25.539971216476953,29.18861414923491,25.539971216476953,64.45057774662182
BTC-29APR26-73000-P,BTC,P,73000.0,77532.46,0.9415411299989707,0.008075267550447436,short,69.77921400000001,52.923348053891914,55.71615463169936,45.28221569711928,MC,20.15365115505693,24.15599858448978,20.15365115505693,35.10644058398355
BTC-29APR26-81000-C,BTC,C,81000.0,77532.58,1.0447221026309197,0.008075049861523057,short,147.311902,123.2607006974049,116.63842096667983,120.38516967557914,BS,16.326719685280487,16.326719685280487,20.822133593333263,18.278721514586696
BTC-29APR26-82000-C,BTC,C,82000.0,77532.58,1.057619906367104,0.008075035330696884,short,85.28583800000001,68.74246058450444,63.41687588342334,54.633951839423815,BS,19.397566821698543,19.397566821698543,25.641961935786657,35.940182894815656
BTC-29APR26-83000-C,BTC,C,83000.0,77532.58,1.0705177101032881,0.008075020528842496,short,54.272806,41.34703031294612,37.81960046750827,24.228701682945307,BS,23.816302564223204,23.816302564223204,30.315745112739755,55.357565844402245
BTC-29APR26-84000-C,BTC,C,84000.0,77532.58,1.0834155138394723,0.008075005478458437,short,38.766290000000005,25.935717095109794,23.487580728299502,10.720896040543893,BS,33.097242230015326,33.097242230015326,39.41235870572217,72.34479739860613
BTC-29APR26-85000-C,BTC,C,85000.0,77532.58,1.0963133175756565,0.008074990661203641,short,23.259774,16.8191749432267,15.237958761928422,4.8563444549906105,BS,27.68986085923836,27.68986085923836,34.4879328495263,79.12127411474155
BTC-29APR26-87000-C,BTC,C,87000.0,77532.58,1.122108925048025,0.00807496179617588,short,15.506516000000001,9.277752828656162,8.21384380383411,1.096996703225925,BS,40.16868245158254,40.16868245158254,47.02972734923752,92.92557591127546
BTC-1MAY26-60000-P,BTC,P,60000.0,77505.16,0.7741420055129232,0.013550642195667604,short,7.750516000000001,5.736672867427984,6.098837269855404,0.0,MC,21.310564743619604,25.983342690628813,21.310564743619604,100.0
BTC-1MAY26-64000-P,BTC,P,64000.0,77505.04,0.8257527510468997,0.013550628136898876,short,15.501007999999999,12.624025641228457,12.713871316793638,0.052517599944260515,MC,17.980357685167064,18.55996951147656,17.980357685167064,99.66119880755974
BTC-1MAY26-68000-P,BTC,P,68000.0,77503.2,0.8773831274063523,0.013550583582908714,short,38.751599999999996,30.62751822582686,31.740993434739643,3.652007847960929,MC,18.091140921304806,20.96450668920286,18.091140921304806,90.57585274424558
BTC-1MAY26-69000-P,BTC,P,69000.0,77503.16,0.8902862799400695,0.013550569168409512,short,54.252212,40.26476130740116,42.29639374883225,8.33274078720793,MC,22.037476096214746,25.78226799784466,22.037476096214746,84.64073540963099
BTC-1MAY26-87000-C,BTC,C,87000.0,77502.37,1.122546316970694,0.013550311683778234,short,31.000948,24.767841369869302,22.51818878578238,10.44587588032774,BS,20.10618072108859,20.10618072108859,27.362902625486225,66.30465661783072
BTC-1MAY26-90000-C,BTC,C,90000.0,77502.37,1.1612548106593386,0.013550296696421783,short,15.500474,10.566532500034214,9.383753286628355,1.9965764373091093,BS,31.830907235261236,31.830907235261236,39.461507521458024,87.11925559625396
BTC-26JUN26-130000-C,BTC,C,130000.0,77652.71,1.6741205812392121,0.16686820982520853,medium,23.295813,28.273707195733607,26.96204429557998,220.55784931250724,MC,15.737726326958326,21.36819262643295,15.737726326958326,846.7703458664749
