currency,instrument,strike,expiry,time_to_expiry,option_type,spot,mark_iv,bs_delta,bs_gamma,bs_vega,bs_theta,mc_delta,mc_gamma,mc_vega,mc_theta,heston_delta,heston_gamma,heston_vega,heston_theta
BTC,BTC-25SEP26-200000-C,200000.0,2026-09-25 00:00:00+00:00,0.4160109714351852,C,78169.22,0.5101,0.004303432568325405,4.914643038057253e-07,638.604196904106,-401.050229372905,0.006730371812420478,1.5043524818917697e-06,1016.3911691266989,-588.0458320618292,0.00651440301188361,1.1203325678942167e-06,461.69047030360133,-785.7408787528086
BTC,BTC-8MAY26-78000-C,78000.0,2026-05-08 00:00:00+00:00,0.032715079658719295,C,77504.98,0.3754,0.4857050735289293,7.562293699459976e-05,5589.020787899062,-34546.92827119812,0.47439103101838664,7.051383442024315e-05,5635.176569044404,-34757.24099624091,0.5096345530272769,0.00011266894150846533,8013.662241966005,-29128.820198587673
BTC,BTC-29APR26-75500-P,75500.0,2026-04-29 00:00:00+00:00,0.00807520457709078,P,77532.63,0.3552,-0.19862282116794133,0.00011112112065700276,1918.384688727383,-42366.71592814607,-0.2038839624237347,0.0001092661595004493,1990.9960848756498,-44143.74882325036,-0.16850478761977314,9.073338051715374e-05,2744.3457534574177,-39891.73554071789
BTC,BTC-8MAY26-75000-C,75000.0,2026-05-08 00:00:00+00:00,0.03271512245351357,C,77504.71,0.3933,0.6979145796479591,6.313240480293726e-05,4884.110043898545,-32396.94438096063,0.6901424232800913,6.648763682072742e-05,4902.773827626629,-32449.90902943732,0.7766964524403552,6.634664839566477e-05,5985.583662195495,-26881.470155996878
BTC,BTC-29MAY26-75000-P,75000.0,2026-05-29 00:00:00+00:00,0.09020920457078486,P,77548.77,0.4072,-0.3554190538221394,3.924641979936733e-05,8672.903484150993,-18219.67487577189,-0.36761113642825916,4.121593173066033e-05,8958.042020828156,-18810.452994650626,-0.26813267262316093,4.3787322906185825e-05,8978.63294033209,-18776.22506742288
BTC,BTC-26JUN26-64000-C,64000.0,2026-06-26 00:00:00+00:00,0.16686858569089538,C,77652.74,0.47659999999999997,0.8713527925035776,1.388566378624402e-05,6656.476933708473,-12133.589790716942,0.8649381009056555,1.354262101526137e-05,6825.389774235191,-12351.493186977923,0.9189604924727632,9.309133796774563e-06,4928.88625402602,-12704.12285854959
BTC,BTC-26MAR27-140000-C,140000.0,2027-03-26 00:00:00+00:00,0.9142983577456777,C,79591.4,0.436,0.1499961930264743,7.025914529616118e-06,17739.2605786722,-4715.9072997719795,0.15778342834945042,8.881108340322426e-06,19182.354496171,-5075.8876175859195,0.20108322081663216,6.817278809576648e-06,6468.669396613745,-8582.504699623334
BTC,BTC-29APR26-80500-C,80500.0,2026-04-29 00:00:00+00:00,0.008075064120433746,C,77532.58,0.3655,0.13601381175770413,8.423939470006144e-05,1492.6833802433066,-32635.976846448575,0.13910914662389884,8.535605143150418e-05,1564.3740396404182,-33923.98929698498,0.09278155704782823,7.598328856731728e-05,1677.0342044226118,-18959.076341921962
BTC,BTC-25SEP26-72000-C,72000.0,2026-09-25 00:00:00+00:00,0.41601148260539456,C,78165.45,0.43420000000000003,0.6941016555389175,1.6020592931669786e-05,17680.514962288362,-11323.063726327491,0.6813255438334493,1.6182430090151704e-05,18323.09111626473,-11608.699944040673,0.7564300610263358,1.3847505472063946e-05,8234.602834108227,-16711.87219139584
BTC,BTC-25DEC26-160000-P,160000.0,2026-12-25 00:00:00+00:00,0.6651546237602353,P,78855.95,0.452,-0.9499814484821217,3.5480968000269172e-06,6633.658076006395,5321.406814205766,-0.9411988415693141,1.5780324262288391e-06,7370.299985174643,5023.544414165663,-0.9244695378445905,3.520187067100851e-06,2045.240966363781,3229.8893313812005
BTC,BTC-31JUL26-62000-P,62000.0,2026-07-31 00:00:00+00:00,0.2626925911144383,P,77847.6246,0.47100000000000003,-0.1318649858972021,1.136506359525699e-05,8519.06274015737,-7060.915371442752,-0.13652125540159155,1.122703418055681e-05,8853.785254398099,-7362.301095119735,-0.09146536650612046,7.0127121366894024e-06,5332.149598867932,-9721.819350044754
BTC,BTC-29MAY26-70000-P,70000.0,2026-05-29 00:00:00+00:00,0.090209275559675,P,77549.33,0.435,-0.18868073711879477,2.6647301627045607e-05,6287.17555594485,-14426.314526782771,-0.19264976877969517,2.3748629487536536e-05,6483.3497299895835,-14890.321354573905,-0.11626319937976339,1.795993464698447e-05,5756.153977422537,-13822.054951367885
BTC,BTC-26JUN26-220000-C,220000.0,2026-06-26 00:00:00+00:00,0.16686801605217128,C,77654.13,0.8170000000000001,0.001705633242993064,2.115101038066664e-07,174.0901927752887,-416.28397095693066,0.001998887162836645,-1.7674712001934315e-20,220.0420599239546,-545.0310733732891,0.0,0.0,0.0,0.0
BTC,BTC-28APR26-79500-C,79500.0,2026-04-28 00:00:00+00:00,0.005337628269355084,C,77532.5,0.3507,0.1757003313774512,0.0001270350903458516,1432.1136899637168,-46020.54287336604,0.17830387055256003,0.00012616658660500568,1486.4822529906305,-47760.23490683935,0.14626894695791326,0.0001328112047195935,1927.0209144357636,-32032.60524605215
BTC,BTC-26JUN26-115000-C,115000.0,2026-06-26 00:00:00+00:00,0.1668682527644371,C,77652.71,0.4179,0.01519623406814763,2.8839700726958004e-06,1212.9791497062513,-1544.8276817776787,0.01752860384122531,2.7084813240794386e-06,1434.7288562390588,-1845.9028621293119,0.014276332254412894,1.0732403958289806e-06,988.6720539432496,-2069.2847071081446
BTC,BTC-25DEC26-82000-C,82000.0,2026-12-25 00:00:00+00:00,0.6651549654531714,C,78855.63,0.4382,0.564455285531821,1.3970282954362533e-05,25320.95313795653,-10026.185324892394,0.558856090807457,1.6355418692804516e-05,26283.491554650936,-10307.90915707712,0.6187563542880551,1.3831580425288863e-05,8634.736623773097,-16278.432269894929
BTC,BTC-28APR26-82000-P,82000.0,2026-04-28 00:00:00+00:00,0.005337562987394478,P,77532.43,0.4131,-0.964092216042956,3.244791902548449e-05,421.76282173459185,-6263.72108423544,-0.9606680037743406,3.342139460833681e-05,522.6448393155351,-10644.894574534304,-0.9920398422197778,1.042013308320065e-05,272.9560813168973,-57.38850644944705
BTC,BTC-15MAY26-81000-P,81000.0,2026-05-15 00:00:00+00:00,0.05187974647688671,P,77520.3933,0.37770000000000004,-0.6687374643376095,5.43119139887324e-05,6401.509630800865,-20701.843468307306,-0.6696648178658665,5.006401346241121e-05,6667.045080975913,-21687.54080126972,-0.7201892475179458,7.791093026692849e-05,7821.065701389807,-16858.9661021784
BTC,BTC-26MAR27-98000-C,98000.0,2027-03-26 00:00:00+00:00,0.914298531515261,C,79589.16,0.4401,0.4303561815104481,1.1728965822808454e-05,29895.519580021028,-8489.318910470483,0.43478825287991163,1.0034949884103371e-05,31299.544026875537,-8825.476834047586,0.4954571137691947,1.3393611149392837e-05,8242.644028683299,-14122.305790605415
BTC,BTC-26JUN26-85000-C,85000.0,2026-06-26 00:00:00+00:00,0.16686839298203918,C,77652.57,0.39159999999999995,0.33256536853151725,2.9232862402821567e-05,11521.322459994008,-14721.591974229268,0.33306824399917423,2.6754699840224216e-05,11814.374352294475,-15065.272413898112,0.29861121502450483,3.814605983832943e-05,8874.07127051216,-17380.78191599732
ETH,ETH-26MAR27-3100-P,3100.0,2027-03-26 00:00:00+00:00,0.9142928044851003,P,2378.36,0.6412,-0.5203847581309087,0.00027322859413409303,906.0559688295143,-207.36202855311262,-0.5132491686669414,0.0001976159544559302,917.6873648830735,-211.35770517560218,-0.5239075475287998,0.0002743922084096422,287.3823173568326,-306.56837327644155
ETH,ETH-25DEC26-10000-P,10000.0,2026-12-25 00:00:00+00:00,0.665148671534369,P,2356.66,0.6997,-0.9857051671742761,2.7012702760634935e-05,69.86369256746912,445.76582101627537,-0.9810610479876118,-1.6375942788836347e-15,63.758937829652496,448.588080776658,-0.9562332090568743,2.6063458584826638e-05,92.74755390160863,383.7399011265188
ETH,ETH-29APR26-2375-P,2375.0,2026-04-29 00:00:00+00:00,0.008068505283228129,P,2316.38,0.4978,-0.6997011650607045,0.0033403688217820285,72.22069983735082,-2284.8909768779695,-0.7003693518735771,0.0031095191192173064,75.41557647228885,-2403.1039493791923,-0.6554847538608922,0.00264300435732093,60.98414639338472,-3353.950673098311
ETH,ETH-26JUN26-6000-P,6000.0,2026-06-26 00:00:00+00:00,0.16686196036571221,P,2320.07,0.7885,-0.9971330902255728,1.174389786270154e-05,8.324814288221205,278.20467201233896,-0.9947627683119593,3.4748719315861656e-05,7.907249232835056,280.03474324634,-0.9955130004222478,2.9534907583475884e-05,10.09959625450847,272.3251382117928
